5M10Z41472;n/a;Keyb T14s G1 Cover CZ/SLK - FPR - BL;8;47;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;CZ/SK;n/a;5M10Z41472;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M10Z41472;0;n/a;n/a; 
5M10Z54250;n/a;Keyb T14s G1 Cover US/I - FPR - BL;1;47;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;US/I;n/a;5M10Z54250;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M10Z54250;0;n/a;n/a; 
5M10Z54292;n/a;Keyb T14s G1 Cover TC - FPR - BL;2;7;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;TH;n/a;5M10Z54292;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M10Z54292;0;n/a;n/a; 
5M10Z54296;n/a;Keyb T14s G1 Cover TR - FPR - BL;5;27;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;TR;n/a;5M10Z54296;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M10Z54296;0;n/a;n/a; 
5M11A37072;n/a;Keyb T14s G2 Cover FR - WL;7;101;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;FR;n/a;5M11A37072;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11A37072;0;n/a;n/a; 
5M11A37170;n/a;Keyb T14s G2 Cover GB - WL;2;43;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;GB;n/a;5M11A37170;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11A37170;0;n/a;n/a; 
5M11A37252;n/a;Keyb T14s G2 Cover US - WL - BL;9;192;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;US;n/a;5M11A37252;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11A37252;0;n/a;n/a; 
5M11A37275;n/a;Keyb T14s G2 Cover US/I - WL - BL;3;192;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;US/I;n/a;5M11A37275;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11A37275;0;n/a;n/a; 
5M11A37281;n/a;Keyb T14s G2 Cover FR - WL - BL;1;101;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;FR;n/a;5M11A37281;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11A37281;0;n/a;n/a; 
5M11A37287;n/a;Keyb T14s G2 Cover FR - WL - BL;4;101;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;FR;n/a;5M11A37287;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/5M11A37287;0;n/a;n/a; 
